"sitename","means","country","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.00421193311822069,"Canada","inactive__Summer"
"Aldan",-0.00552962337770985,"Russia","NA__NA"
"Alert",-0.00666614075594777,"Canada","NA__NA"
"Ambarchik",-0.00921713167809275,"Russia","NA__NA"
"Arctic Bay",-0.00962381491361963,"Canada","NA__NA"
"Artemovsk",-0.00700999076814865,"Russia","NA__NA"
"Athabasca, poor fen",-0.00421193311822069,"Canada","inactive__Summer"
"Bagdarin",-0.00485541906668905,"Russia","NA__NA"
"Bakal",-0.00550692042672955,"Russia","NA__NA"
"Baker Lake",-0.00973642996802091,"Canada","NA__NA"
"Bezhetsk",-0.00582913543144609,"Russia","NA__NA"
"Big Beaver House",-0.00874196475698132,"Canada","NA__NA"
"Bilibino",-0.00389286287392376,"Russia","NA__NA"
"Bodaybo",-0.00993234638181882,"Russia","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.00609281641843545,"USA","inactive__Summer"
"Boyarka",-0.00291464524781544,"Russia","NA__NA"
"Cape Dorset",-0.00911741476122336,"Canada","NA__NA"
"Chegdomyn",-0.0118969671722919,"Russia","NA__NA"
"Cochrane",-0.00511451538786654,"Canada","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.005498783095517,"Greenland/Denmark","NA__NA"
"Dease Lake",-0.00648781324389689,"Canada","NA__NA"
"Dolinsk",-0.00618928834638711,"Russia","NA__NA"
"Eastern Old Black Spruce (EOBS)",-0.00631826559179,"Canada","inactive__Summer"
"Ennadai",-0.00997300287498934,"Canada","NA__NA"
"Fort Good Hope",-0.00777750691314426,"Canada","NA__NA"
"Fort Nelson",-0.00394720545196078,"Canada","NA__NA"
"Govorovo",-0.00908948202395183,"Russia","NA__NA"
"Grise Fiord",-0.00886522192548513,"Canada","NA__NA"
"Gubakha",-0.00818580756308438,"Russia","NA__NA"
"Hearst",-0.011091588991274,"Canada","NA__NA"
"Holman",-0.0102615471434917,"Canada","NA__NA"
"Island Lake",-0.00690761600266599,"Canada","NA__NA"
"Ivugivik",-0.00860507437551816,"Canada","NA__NA"
"Kavache",-0.00681622710768556,"Russia","NA__NA"
"Khakhar",-0.00526596931543065,"Russia","NA__NA"
"Khorgo",-0.00622731378911663,"Russia","NA__NA"
"Kimmirut",-0.00691137889327148,"Canada","NA__NA"
"Kirs",-0.00982282780099638,"Russia","NA__NA"
"Kizel",-0.00639747665736319,"Russia","NA__NA"
"Klyuchi",-0.00704047647791627,"Russia","NA__NA"
"Kogalym",-0.00622786358896323,"Russia","NA__NA"
"Kudymkar",-0.00441579507197012,"Russia","NA__NA"
"Maaninka",-0.00501482289197551,"Finland","inactive__Summer"
"Megion",-0.00659905793659963,"Russia","NA__NA"
"Menkere",-0.00822241743242188,"Russia","NA__NA"
"Montana",-0.00833920593104289,"United States","NA__NA"
"Natara",-0.00694604875166471,"Russia","NA__NA"
"Naujaat",-0.012502098221698,"Canada","NA__NA"
"Neryungri",-0.00830412688900801,"Russia","NA__NA"
"Nizhneyansk",-0.00683749082487886,"Russia","NA__NA"
"Nogliki",-0.00570448290288081,"Russia","NA__NA"
"Nord",-0.0105397916915805,"Denmark","NA__NA"
"Noyabrsk",-0.00686929875860678,"Russia","NA__NA"
"Nyukzha",-0.00431887762637015,"Russia","NA__NA"
"Olenek",-0.0038093116469,"Russia","NA__NA"
"Omchak",-0.00327374591396637,"Russia","NA__NA"
"Omolon",-0.00656087064376679,"Russia","NA__NA"
"Omsukchan",-0.0117923544734,"Russia","NA__NA"
"Onega",-0.00526946096734638,"Russia","NA__NA"
"Oymyakon",-0.00494262119670008,"Russia","NA__NA"
"Paulatuk",-0.00691066418802022,"Canada","NA__NA"
"Poronaysk",-0.00686717454791997,"Russia","NA__NA"
"Put Lenina",-0.0043640014436197,"Russia","NA__NA"
"Rankin Inlet",-0.00621785879970534,"Canada","NA__NA"
"Red Devil",-0.00577169854494882,"United States","NA__NA"
"Sangar",-0.00253311987540193,"Russia","NA__NA"
"Saskylakh",-0.00397335621299364,"Russia","NA__NA"
"Savissivik",-0.00856834091235289,"Denmark","NA__NA"
"Sioux Lookout",-0.00798007086319522,"Canada","NA__NA"
"Slyudyanka",-0.00622477626089926,"Russia","NA__NA"
"Southern Khentei Taiga",-0.00646432791556294,"Mongolia","inactive__All year"
"Srednekolymsk",-0.0034471794639879,"Russia","NA__NA"
"Susuman",-0.00500986955174989,"Russia","NA__NA"
"Svetogorsk",-0.00459942735510328,"Russia","NA__NA"
"Tasiusaq",-0.00683923183923219,"Denmark","NA__NA"
"Tobolsk",-0.00673922816003131,"Russia","NA__NA"
"Tunguskhaya",-0.00511860508224235,"Russia","NA__NA"
"UCI-1850 burn site",-0.00610395891250795,"Canada","inactive__Summer"
